site,plataforma,item,produto_encontrado,score,url_produto
platinox.com.br,tray,U064 - Peneira manual profissional confeccionada em aço inoxidável,Peneira inox 18cm MIMO AP18,0.609,https://www.platinox.com.br/utensilios/utensilios-para-cozinha/peneira-inox-18cm-mimo-ap18
platinox.com.br,tray,U022 - Caldeirão tipo hotel industrial nº 38,"Caldeirão Hotel Standard NR 40 45,8L - Real 9740",0.593,https://www.platinox.com.br/utensilios/caldeirao-standard-nr-40-42l-real-9740
platinox.com.br,tray,U010 - Caçarola tipo hotel industrial nº 45,"Caçarola Hotel Standard NR 45 30,4L - Real 9145",0.58,https://www.platinox.com.br/utensilios/panela/cacarola/cacarola-standard-nr-45-30-4l-real-9145
platinox.com.br,tray,U009 - Caçarola tipo hotel industrial nº 38,"Caçarola Hotel Standard NR 38 20,4 L - Real 9138",0.573,https://www.platinox.com.br/utensilios/panela/cacarola/cacarola-standard-nr-38-20-0l-real-9138
platinox.com.br,tray,U008 - Caçarola industrial em alumínio com capacidade aproximada de 10 litros,"Caçarola Alumínio Batido Nr 28 5,6l - Alumínio Jalice 1-01-28",0.558,https://www.platinox.com.br/utensilios/panela/cacarola/cacarola-aluminio-batido-nr-28-aluminio-jalice-1-01-28
platinox.com.br,tray,U057 - Panela de pressão com capacidade aproximada de 5 litros,Panela de Pressao 22l c/alca fechamento externo EIRILAR 907,0.558,https://www.platinox.com.br/utensilios/panelas/pressao/copia-panela-de-pressao-20l-casa-baquelite-abc-1215
platinox.com.br,tray,U048 - Frigideira industrial modelo nº 45,Frigideira Teflon Nr 30 Cabo Baquelite Real 8730,0.548,https://www.platinox.com.br/utensilios/panela/frigideira/frigideira-teflon-nr-30-cabo-baquelite-real-8730
platinox.com.br,tray,U046 - Faca profissional tipo chef para corte e preparo geral de alimentos,Faca Chef 10 Inox Cabo Branco PP Premium 24476/180 - Tramontina,0.532,https://www.platinox.com.br/utensilios/talheres/facas/faca-chef-10-inox-cabo-branco-pp-premium-24476180-tramontina
platinox.com.br,tray,U044 - Faca profissional para legumes e frutas,Faca Legumes/frutas Inox 4 Cabo Branco Premium 24470/184 - Tramontina,0.527,https://www.platinox.com.br/utensilios/talheres/facas/faca-legumesfrutas-inox-4-cabo-branco-premium-24470184-tramontina
platinox.com.br,tray,U002 - Assadeira tipo hotel confeccionada em alumínio de alta resistência,Assadeira Retangular 55x38x7cm - Real 6055,0.494,https://www.platinox.com.br/utensilios/panela/assadeira/assadeira-retangular-55x38x70mm-real-6055
