id_item,categoria,grupo_insumo,item_curto,descricao,termos_busca
U073,UTENSILIOS,LEITEIRA,Leiteira industrial tipo hotel,"Leiteira industrial tipo hotel, com capacidade aproximada de 10 litros, confeccionada em alumínio de alta resistência, com acabamento liso, alça lateral reforçada e estrutura adequada para aquecimento, preparo e distribuição de líquidos","leiteira 10 l | leiteira aluminio | leiteira industrial hotel, | leiteira"
U055,UTENSILIOS,LIXEIRA,Lixeira com capacidade aproximada de 50 litros,"Lixeira com capacidade aproximada de 50 litros, confeccionada em plástico de alta resistência (PP ou PEAD), na cor branca, com tampa articulada acionada por pedal, estrutura resistente, superfície lisa e de fácil higienização","lixeira 50 l | lixeira plastico | lixeira 50 litros, | lixeira"
U056,UTENSILIOS,PA/REMO,Pá tipo remo profissional confeccionada em polietileno de alta densidade (PEAD) atóxico,"Pá tipo remo profissional confeccionada em polietileno de alta densidade (PEAD) atóxico, próprio para contato com alimentos, com comprimento aproximado de 75 cm, largura aproximada de 9 cm e espessura mínima de 15 mm. Possui superfície lisa, não porosa, resistente e de fácil higienização",pa remo 75 cm | pa remo profissional | pa remo
U057,UTENSILIOS,PANELA,Panela de pressão com capacidade aproximada de 5 litros,"Panela de pressão com capacidade aproximada de 5 litros, confeccionada em alumínio reforçado, com sistema de fechamento externo, válvula reguladora de pressão, válvula de segurança, dispositivo de travamento seguro e cabo e alça em material antitérmico resistente para manuseio.",panela 5 l | panela aluminio | panela pressao 5 | panela
U058,UTENSILIOS,PANELA,Panela de pressão industrial com capacidade aproximada de 10 litros,"Panela de pressão industrial com capacidade aproximada de 10 litros, confeccionada em alumínio reforçado, com sistema de fechamento externo, válvula de segurança, dispositivo de travamento seguro e alças laterais resistentes para manuseio",panela 10 l | panela aluminio | panela pressao industrial | panela
U059,UTENSILIOS,PANELA,Panela de pressão industrial com capacidade aproximada de 20 litros,"Panela de pressão industrial com capacidade aproximada de 20 litros, confeccionada em alumínio reforçado, com sistema de fechamento externo, válvula de segurança, dispositivo de travamento seguro e alças laterais resistentes para manuseio",panela 20 l | panela aluminio | panela pressao industrial | panela
U060,UTENSILIOS,PANELA,Panela de pressão industrial com capacidade aproximada de 25 litros,"Panela de pressão industrial com capacidade aproximada de 25 litros, confeccionada em alumínio reforçado, com sistema de fechamento externo, válvula de segurança, dispositivo de travamento seguro e alças laterais resistentes para manuseio",panela 25 l | panela aluminio | panela pressao industrial | panela
U061,UTENSILIOS,PANELA,Panela de pressão industrial com capacidade aproximada de 30 litros,"Panela de pressão industrial com capacidade aproximada de 30 litros, confeccionada em alumínio reforçado, com sistema de fechamento externo, válvula de segurança, dispositivo de travamento seguro e alças laterais resistentes para manuseio",panela 30 l | panela aluminio | panela pressao industrial | panela
U062,UTENSILIOS,PANELA,Panela de pressão industrial com capacidade aproximada de 35 a 40 litros,"Panela de pressão industrial com capacidade aproximada de 35 a 40 litros, confeccionada em alumínio reforçado, com sistema de fechamento externo, válvula de segurança, dispositivo de travamento seguro e alças laterais resistentes para manuseio",panela 40 l | panela aluminio | panela pressao industrial | panela
U063,UTENSILIOS,PEGADOR,Pegador universal profissional confeccionado em aço inoxidável,"Pegador universal profissional confeccionado em aço inoxidável, com comprimento aproximado de 29 cm, estrutura resistente à corrosão, acabamento liso e sanitário, com boa resistência mecânica e adequado para manipulação de diferentes tipos de alimentos",pegador 29 cm | pegador inox | pegador universal profissional | pegador
U025,UTENSILIOS,PENEIRA,Peneira de inos para suco,Peneira de inos para suco,peneira inos suco | peneira
U064,UTENSILIOS,PENEIRA,Peneira manual profissional confeccionada em aço inoxidável,"Peneira manual profissional confeccionada em aço inoxidável, com diâmetro aproximado de 18 cm, equipada com tela em malha resistente, aro reforçado e cabo para manuseio seguro. Possui estrutura resistente à corrosão, acabamento liso e de fácil higienização",peneira 18 cm | peneira inox | peneira manual profissional | peneira
U065,UTENSILIOS,PORTA DETERGENTE,Porta detergente com suporte para esponja,"Porta detergente com suporte para esponja, confeccionado em polipropileno (PP) atóxico, na cor branca, com dimensões aproximadas de 25,5 × 14,4 × 3,8 cm, estrutura resistente, acabamento liso e de fácil higienização",porta detergente 3.8 cm | porta detergente polipropileno | porta detergente suporte | porta detergente
U066,UTENSILIOS,PORTA PAPEL-TOALHA,Porta papel-toalha de parede confeccionado em plástico de alta resistência (polipropileno,"Porta papel-toalha de parede confeccionado em plástico de alta resistência (polipropileno – PP ou material equivalente), na cor branca, com dimensões aproximadas de 14,4 × 24,5 × 12,2 cm, estrutura resistente, design funcional e superfície lisa de fácil higienização",porta papel toalha 12.2 cm | porta papel toalha polipropileno | porta papel toalha
